"V1","V2"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,6.1e-07
"12",11,0
"13",12,5.9e-07
"14",13,1.15e-06
"15",14,0
"16",15,1.66e-06
"17",16,0
"18",17,1.09e-06
"19",18,1.68e-06
"20",19,4.08e-06
"21",20,4.64e-06
"22",21,6.27e-06
"23",22,1.508e-05
"24",23,1.745e-05
"25",24,3.413e-05
"26",25,4.475e-05
"27",26,5.403e-05
"28",27,6.992e-05
"29",28,0.00010354
"30",29,0.00012869
"31",30,0.0001791
"32",31,0.00022143
"33",32,0.00026745
"34",33,0.00032237
"35",34,0.00039769
"36",35,0.00048008
"37",36,0.00052285
"38",37,0.00062629
"39",38,0.00069351
"40",39,0.0008326
"41",40,0.00108921
"42",41,0.00113228
"43",42,0.0012588
"44",43,0.00138065
"45",44,0.00154901
"46",45,0.00173058
"47",46,0.00186212
"48",47,0.00199389
"49",48,0.00215044
"50",49,0.0022487
"51",50,0.00234053
"52",51,0.00226956
"53",52,0.00237389
"54",53,0.00248889
"55",54,0.00254099
"56",55,0.00259976
"57",56,0.00277098
"58",57,0.00292739
"59",58,0.00311658
"60",59,0.00327288
"61",60,0.00348621
"62",61,0.00369246
"63",62,0.00377201
"64",63,0.00404635
"65",64,0.00404155
"66",65,0.00441307
"67",66,0.00444757
"68",67,0.00438026
"69",68,0.00440291
"70",69,0.00451959
"71",70,0.00447193
"72",71,0.00456561
"73",72,0.00450513
"74",73,0.00458608
"75",74,0.00461957
"76",75,0.00465801
"77",76,0.00474619
"78",77,0.00466695
"79",78,0.00477873
"80",79,0.00470698
"81",80,0.00461647
"82",81,0.00460919
"83",82,0.00453748
"84",83,0.00450204
"85",84,0.00431416
"86",85,0.00365259
