"top x%","lung cancer death % cutpoint","lung cancer incidence % cutpoint","false positive risk cutpoint"
0.001,16.590747981391,22.0090159705277,49.171378464244
0.002,14.8339082379267,20.376460605373,48.7332538624453
0.003,13.9530936068202,19.6984246631687,48.5410409994001
0.004,13.5776667295285,18.6940839287154,48.2440249837108
0.005,13.2579448873472,18.330822300682,48.1327214028505
0.006,13.0064195422035,17.795790695131,47.9647810160368
0.007,12.7058809942829,17.4293338995795,47.8468718916352
0.008,12.4848362922809,16.9462106021682,47.6876554019465
0.009,12.2569297675819,16.605870929596,47.5728017783051
0.01,11.9691593557066,16.1883726471711,47.4287202093171
0.011,11.6561370414317,15.8937957321915,47.3248550427531
0.012,11.5373718952334,15.6581235448025,47.240394499076
0.013,11.4087791455706,15.476322467346,47.1743869135669
0.014,11.2317914852437,15.3379875217303,47.1236511711479
0.015,11.1173474451938,15.0675872845539,47.0231750244702
0.016,10.9677078538521,14.8253003487324,46.9316380673899
0.017,10.8158623596073,14.6486315544427,46.8639665238867
0.018,10.5712706924141,14.4920807582039,46.803332090597
0.019,10.4490017955471,14.2387716077454,46.7038550375201
0.02,10.3003397115512,14.1266287629515,46.6592630479396
0.021,10.1851371025902,13.9224813850978,46.5771935294304
0.022,10.0262412137856,13.7809304248153,46.5195969982522
0.023,9.90368026951421,13.6962368194669,46.4848592364027
0.024,9.79799530908152,13.5749937359206,46.4347644647702
0.025,9.72267303572135,13.4494352476946,46.3824252586194
0.026,9.63129970880848,13.3537839688525,46.342232627063
0.027,9.56832921260013,13.2774740864313,46.3099657319394
0.028,9.48538320700932,13.1436992482811,46.2529622713223
0.029,9.42795499409477,13.0149535391315,46.1975661129875
0.03,9.29325093580773,12.9330107121264,46.1620297590579
0.031,9.15705065966358,12.7720398281776,46.0915788499132
0.032,9.06416026506216,12.681204649807,46.051441627415
0.033,8.96586425546139,12.5663437327489,46.0002860804694
0.034,8.92591906399994,12.4889836886311,45.9655754917086
0.035,8.81558637406656,12.4409633971383,45.9439240537958
0.036,8.76443329636363,12.3351521568145,45.8959277337525
0.037,8.69651268847501,12.2340107807279,45.8496742876298
0.038,8.61775126194992,12.134172560456,45.8036510584045
0.039,8.5244252019838,12.0607790184631,45.7695830980572
0.04,8.493821184801,11.9386869954766,45.7124617052733
